id,rating_numerator,name,retweet_count,favorite_count,type,p1_dog,display_text_range,created_date,created_time
834786237630337024,13,Tobi,5105,20170,Border_terrier,True,137,2017-02-23,15
834458053273591808,12,Chester,1545,9017,Rhodesian_ridgeback,True,141,2017-02-22,17
834209720923721728,12,Wilson,4318,19218,golden_retriever,True,102,2017-02-22,1
833863086058651648,12,Bentley,2208,12581,kuvasz,True,102,2017-02-21,2
833826103416520705,13,Charlie,3483,17047,Chihuahua,True,139,2017-02-20,23
833722901757046785,13,Bronte,2994,19636,West_Highland_white_terrier,True,140,2017-02-20,17
833479644947025920,13,Poppy,1882,13970,golden_retriever,True,62,2017-02-20,0
833124694597443584,12,Gidget,4436,18958,Cardigan,True,118,2017-02-19,1
832998151111966721,13,Rhino,2009,12406,boxer,True,140,2017-02-18,17
832757312314028032,13,Willow,3315,15815,Cardigan,True,135,2017-02-18,1
832636094638288896,12,Orion,2556,14863,Eskimo_dog,True,93,2017-02-17,17
832397543355072512,12,Eevee,2036,11213,Pekinese,True,129,2017-02-17,1
832369877331693569,11,Charlie,2915,16047,kelpie,True,112,2017-02-16,23
832273440279240704,14,Smiley,2140,10628,Pembroke,True,130,2017-02-16,17
832032802820481025,12,Miguel,4294,16736,whippet,True,139,2017-02-16,1
831939777352105988,12,Emanuel,5648,22446,Pomeranian,True,140,2017-02-15,18
831911600680497154,14,Kuyu,5960,25793,bloodhound,True,139,2017-02-15,17
831670449226514432,13,Daisy,1686,9770,Pembroke,True,60,2017-02-15,1
831552930092285952,13,Dutch,2157,8432,Chihuahua,True,117,2017-02-14,17
831322785565769729,12,Pete,1441,8745,Old_English_sheepdog,True,116,2017-02-14,2
831309418084069378,12,Scooter,2259,11071,Doberman,True,138,2017-02-14,1
831262627380748289,12,Tucker,1885,11126,cocker_spaniel,True,116,2017-02-13,22
830956169170665475,12,Reggie,1373,7490,kuvasz,True,60,2017-02-13,1
830583320585068544,13,Lilly,15379,62232,Labrador_retriever,True,94,2017-02-12,1
830097400375152640,13,Samson,2688,9131,toy_poodle,True,140,2017-02-10,16
829861396166877184,12,Mia,1790,11490,Border_terrier,True,113,2017-02-10,1
829501995190984704,12,Leo,9748,29821,French_bulldog,True,127,2017-02-09,1
829141528400556032,12,Malcolm,6753,22850,golden_retriever,True,114,2017-02-08,1
829011960981237760,13,Dexter,15064,50159,boxer,True,127,2017-02-07,17
828650029636317184,14,one,1233,8928,golden_retriever,True,80,2017-02-06,17
828408677031882754,12,Bear,1183,7230,Weimaraner,True,131,2017-02-06,1
828381636999917570,14,Doobert,2056,11831,Bedlington_terrier,True,122,2017-02-05,23
828376505180889089,13,Beebop,991,6969,American_Staffordshire_terrier,True,112,2017-02-05,22
828372645993398273,12,Alexander,2722,11836,malamute,True,123,2017-02-05,22
828011680017821696,11,Brutus,1981,9748,American_Staffordshire_terrier,True,124,2017-02-04,22
827933404142436356,12,Kona,4815,18795,German_shepherd,True,134,2017-02-04,17
827653905312006145,12,Boots,2788,14553,collie,True,123,2017-02-03,23
827600520311402496,13,Tucker,864,7052,Pembroke,True,139,2017-02-03,19
827324948884643840,12,Ralphie,2801,14916,golden_retriever,True,127,2017-02-03,1
827199976799354881,13,Charlie,2057,9980,Great_Dane,True,129,2017-02-02,17
826958653328592898,12,Loki,4592,20255,golden_retriever,True,73,2017-02-02,1
826848821049180160,13,Cupid,9310,33969,Great_Pyrenees,True,136,2017-02-01,17
826598365270007810,13,Pawnd,2174,9418,French_bulldog,True,75,2017-02-01,1
826476773533745153,12,Pilot,3887,17325,German_shepherd,True,132,2017-01-31,17
825829644528148480,12,Toby,2325,11985,Great_Pyrenees,True,115,2017-01-29,22
825147591692263424,13,Sweet,4164,17215,Pekinese,True,110,2017-01-28,1
825026590719483904,12,Pablo,1165,5885,Eskimo_dog,True,140,2017-01-27,17
824775126675836928,12,Scooter,3260,14019,Border_terrier,True,132,2017-01-27,0
824663926340194305,13,Wilson,1638,9917,English_setter,True,103,2017-01-26,17
823939628516474880,12,Cash,2524,10032,schipperke,True,79,2017-01-24,17
823699002998870016,12,Winston,2331,13178,cairn,True,135,2017-01-24,1
822859134160621569,12,Hobbes,2107,12414,malinois,True,122,2017-01-21,17
822489057087389700,13,Paisley,5938,17053,Samoyed,True,94,2017-01-20,17
822462944365645825,14,Gabe,13089,26203,Pomeranian,True,136,2017-01-20,15
821886076407029760,13,Jimison,2132,10647,golden_retriever,True,53,2017-01-19,1
821765923262631936,13,Duchess,1555,7879,golden_retriever,True,82,2017-01-18,17
821522889702862852,13,Harlso,1627,7550,Doberman,True,117,2017-01-18,1
821407182352777218,14,Sundance,3980,11063,Irish_setter,True,114,2017-01-17,17
821149554670182400,12,Luca,1821,8080,German_shepherd,True,62,2017-01-17,0
821044531881721856,12,Flash,2117,11909,Old_English_sheepdog,True,125,2017-01-16,17
820749716845686786,13,Sunny,9164,29731,golden_retriever,True,108,2017-01-15,21
819952236453363712,13,Oliver,1080,5008,American_Staffordshire_terrier,True,139,2017-01-13,17
819588359383371776,13,Jazzy,1865,9126,Cardigan,True,111,2017-01-12,16
819347104292290561,12,Anna,1115,6810,Rottweiler,True,121,2017-01-12,0
819227688460238848,12,Finn,6219,21732,Border_terrier,True,103,2017-01-11,17
819004803107983360,14,Bo,34444,82370,standard_poodle,True,83,2017-01-11,2
818627210458333184,13,Wafer,7040,21158,Labrador_retriever,True,70,2017-01-10,1
818614493328580609,12,Bear,2346,9273,Chihuahua,True,99,2017-01-10,0
818259473185828864,12,Florence,2074,10376,miniature_schnauzer,True,96,2017-01-09,0
818145370475810820,11,Autumn,2361,11588,golden_retriever,True,82,2017-01-08,17
817827839487737858,13,Buddy,25035,48430,cocker_spaniel,True,116,2017-01-07,20
817777686764523521,13,Dido,2515,10201,curly-coated_retriever,True,140,2017-01-07,16
817536400337801217,12,Eugene,2721,11076,pug,True,143,2017-01-07,1
